project,organism,file_source,project_home,project_type,n_samples
SRP100018,human,sra,data_sources/sra,data_sources,30
SRP170018,human,sra,data_sources/sra,data_sources,11
SRP078618,human,sra,data_sources/sra,data_sources,6
DRP004718,human,sra,data_sources/sra,data_sources,5
SRP028118,human,sra,data_sources/sra,data_sources,5
SRP072918,human,sra,data_sources/sra,data_sources,10
SRP124518,human,sra,data_sources/sra,data_sources,11
SRP166018,human,sra,data_sources/sra,data_sources,8
SRP103118,human,sra,data_sources/sra,data_sources,33
SRP093918,human,sra,data_sources/sra,data_sources,9
SRP066818,human,sra,data_sources/sra,data_sources,24
SRP041718,human,sra,data_sources/sra,data_sources,14
SRP094118,human,sra,data_sources/sra,data_sources,24
SRP103018,human,sra,data_sources/sra,data_sources,6
SRP106818,human,sra,data_sources/sra,data_sources,8
SRP067318,human,sra,data_sources/sra,data_sources,6
SRP111818,human,sra,data_sources/sra,data_sources,24
SRP090318,human,sra,data_sources/sra,data_sources,4
SRP169618,human,sra,data_sources/sra,data_sources,21
SRP161818,human,sra,data_sources/sra,data_sources,6
SRP075118,human,sra,data_sources/sra,data_sources,36
SRP131518,human,sra,data_sources/sra,data_sources,12
SRP150418,human,sra,data_sources/sra,data_sources,4
SRP188418,human,sra,data_sources/sra,data_sources,4
SRP083918,human,sra,data_sources/sra,data_sources,42
ERP016418,human,sra,data_sources/sra,data_sources,4
SRP115218,human,sra,data_sources/sra,data_sources,8
SRP104118,human,sra,data_sources/sra,data_sources,7
SRP066118,human,sra,data_sources/sra,data_sources,54
SRP016118,human,sra,data_sources/sra,data_sources,9
SRP075318,human,sra,data_sources/sra,data_sources,12
ERP015518,human,sra,data_sources/sra,data_sources,6
SRP102818,human,sra,data_sources/sra,data_sources,25
SRP185818,human,sra,data_sources/sra,data_sources,6
ERP116618,human,sra,data_sources/sra,data_sources,16
SRP189418,human,sra,data_sources/sra,data_sources,6
DRP003718,human,sra,data_sources/sra,data_sources,4
SRP195118,human,sra,data_sources/sra,data_sources,15
SRP173218,human,sra,data_sources/sra,data_sources,35
SRP115818,human,sra,data_sources/sra,data_sources,4
SRP077918,human,sra,data_sources/sra,data_sources,4
SRP132718,human,sra,data_sources/sra,data_sources,36
ERP109918,human,sra,data_sources/sra,data_sources,168
SRP190818,human,sra,data_sources/sra,data_sources,9
SRP067018,human,sra,data_sources/sra,data_sources,2
SRP037718,human,sra,data_sources/sra,data_sources,6
ERP024018,human,sra,data_sources/sra,data_sources,24
SRP018718,human,sra,data_sources/sra,data_sources,16
SRP102918,human,sra,data_sources/sra,data_sources,4
SRP183018,human,sra,data_sources/sra,data_sources,15
SRP081918,human,sra,data_sources/sra,data_sources,30
SRP040418,human,sra,data_sources/sra,data_sources,30
ERP020581,human,sra,data_sources/sra,data_sources,16
SRP063581,human,sra,data_sources/sra,data_sources,3
SRP079381,human,sra,data_sources/sra,data_sources,15
SRP127181,human,sra,data_sources/sra,data_sources,27
ERP113881,human,sra,data_sources/sra,data_sources,10
SRP119281,human,sra,data_sources/sra,data_sources,2
SRP074581,human,sra,data_sources/sra,data_sources,50
SRP007481,human,sra,data_sources/sra,data_sources,2
SRP057381,human,sra,data_sources/sra,data_sources,2
SRP044181,human,sra,data_sources/sra,data_sources,28
SRP115481,human,sra,data_sources/sra,data_sources,19
SRP066781,human,sra,data_sources/sra,data_sources,3854
SRP223481,human,sra,data_sources/sra,data_sources,2
SRP212181,human,sra,data_sources/sra,data_sources,16
SRP055381,human,sra,data_sources/sra,data_sources,6
SRP069181,human,sra,data_sources/sra,data_sources,6
SRP064781,human,sra,data_sources/sra,data_sources,1
SRP156081,human,sra,data_sources/sra,data_sources,25
SRP056281,human,sra,data_sources/sra,data_sources,9
SRP076581,human,sra,data_sources/sra,data_sources,6
SRP135881,human,sra,data_sources/sra,data_sources,4
SRP055981,human,sra,data_sources/sra,data_sources,5
SRP222581,human,sra,data_sources/sra,data_sources,9
ERP110081,human,sra,data_sources/sra,data_sources,6
SRP087481,human,sra,data_sources/sra,data_sources,10
SRP155381,human,sra,data_sources/sra,data_sources,19
SRP067481,human,sra,data_sources/sra,data_sources,6
SRP082681,human,sra,data_sources/sra,data_sources,6
SRP132981,human,sra,data_sources/sra,data_sources,24
SRP100681,human,sra,data_sources/sra,data_sources,7
SRP111481,human,sra,data_sources/sra,data_sources,96
SRP077681,human,sra,data_sources/sra,data_sources,4
SRP064481,human,sra,data_sources/sra,data_sources,2
SRP117781,human,sra,data_sources/sra,data_sources,6
SRP149781,human,sra,data_sources/sra,data_sources,6
SRP133881,human,sra,data_sources/sra,data_sources,10
SRP068281,human,sra,data_sources/sra,data_sources,2
SRP043081,human,sra,data_sources/sra,data_sources,20
SRP094781,human,sra,data_sources/sra,data_sources,109
SRP179981,human,sra,data_sources/sra,data_sources,2
SRP110081,human,sra,data_sources/sra,data_sources,12
SRP052781,human,sra,data_sources/sra,data_sources,6
SRP007881,human,sra,data_sources/sra,data_sources,8
SRP029281,human,sra,data_sources/sra,data_sources,8
SRP136481,human,sra,data_sources/sra,data_sources,40
SRP159081,human,sra,data_sources/sra,data_sources,10
SRP061881,human,sra,data_sources/sra,data_sources,56
SRP118481,human,sra,data_sources/sra,data_sources,16
SRP109781,human,sra,data_sources/sra,data_sources,57
SRP179781,human,sra,data_sources/sra,data_sources,335
SRP221381,human,sra,data_sources/sra,data_sources,10
SRP221281,human,sra,data_sources/sra,data_sources,12
SRP193981,human,sra,data_sources/sra,data_sources,151
SRP131681,human,sra,data_sources/sra,data_sources,8
SRP005281,human,sra,data_sources/sra,data_sources,7
DRP004581,human,sra,data_sources/sra,data_sources,2
SRP063881,human,sra,data_sources/sra,data_sources,18
SRP083281,human,sra,data_sources/sra,data_sources,4
SRP070081,human,sra,data_sources/sra,data_sources,8
SRP173381,human,sra,data_sources/sra,data_sources,18
SRP198481,human,sra,data_sources/sra,data_sources,15
SRP136781,human,sra,data_sources/sra,data_sources,10
SRP045481,human,sra,data_sources/sra,data_sources,6
SRP105281,human,sra,data_sources/sra,data_sources,12
SRP008681,human,sra,data_sources/sra,data_sources,2
SRP058181,human,sra,data_sources/sra,data_sources,73
SRP113281,human,sra,data_sources/sra,data_sources,4
SRP102181,human,sra,data_sources/sra,data_sources,12
SRP158981,human,sra,data_sources/sra,data_sources,8
SRP010181,human,sra,data_sources/sra,data_sources,520
SRP002881,human,sra,data_sources/sra,data_sources,1
SRP160881,human,sra,data_sources/sra,data_sources,35
SRP071981,human,sra,data_sources/sra,data_sources,9
SRP125481,human,sra,data_sources/sra,data_sources,41
SRP180281,human,sra,data_sources/sra,data_sources,15
SRP127581,human,sra,data_sources/sra,data_sources,454
SRP049981,human,sra,data_sources/sra,data_sources,19
SRP091981,human,sra,data_sources/sra,data_sources,109
SRP064820,human,sra,data_sources/sra,data_sources,2
SRP065220,human,sra,data_sources/sra,data_sources,21
SRP139120,human,sra,data_sources/sra,data_sources,9
SRP127520,human,sra,data_sources/sra,data_sources,6
SRP081020,human,sra,data_sources/sra,data_sources,55
SRP080020,human,sra,data_sources/sra,data_sources,2
SRP168620,human,sra,data_sources/sra,data_sources,21
SRP150620,human,sra,data_sources/sra,data_sources,13
SRP102020,human,sra,data_sources/sra,data_sources,2
SRP042620,human,sra,data_sources/sra,data_sources,168
SRP048820,human,sra,data_sources/sra,data_sources,14
SRP090820,human,sra,data_sources/sra,data_sources,6
SRP128920,human,sra,data_sources/sra,data_sources,6
SRP117020,human,sra,data_sources/sra,data_sources,130
SRP058120,human,sra,data_sources/sra,data_sources,30
SRP072920,human,sra,data_sources/sra,data_sources,101
SRP014320,human,sra,data_sources/sra,data_sources,104
SRP136720,human,sra,data_sources/sra,data_sources,15
SRP026620,human,sra,data_sources/sra,data_sources,12
SRP132520,human,sra,data_sources/sra,data_sources,22
SRP041620,human,sra,data_sources/sra,data_sources,26
SRP014920,human,sra,data_sources/sra,data_sources,1
SRP049820,human,sra,data_sources/sra,data_sources,83
SRP031620,human,sra,data_sources/sra,data_sources,15
SRP165920,human,sra,data_sources/sra,data_sources,4
SRP198620,human,sra,data_sources/sra,data_sources,9
SRP052620,human,sra,data_sources/sra,data_sources,12
SRP162020,human,sra,data_sources/sra,data_sources,18
ERP109920,human,sra,data_sources/sra,data_sources,1920
SRP065120,human,sra,data_sources/sra,data_sources,5
SRP102920,human,sra,data_sources/sra,data_sources,2
SRP077320,human,sra,data_sources/sra,data_sources,4
SRP216520,human,sra,data_sources/sra,data_sources,1
SRP186820,human,sra,data_sources/sra,data_sources,11
SRP100320,human,sra,data_sources/sra,data_sources,30
SRP124620,human,sra,data_sources/sra,data_sources,12
SRP216420,human,sra,data_sources/sra,data_sources,507
SRP104120,human,sra,data_sources/sra,data_sources,43
SRP127720,human,sra,data_sources/sra,data_sources,12
SRP144520,human,sra,data_sources/sra,data_sources,6
SRP056520,human,sra,data_sources/sra,data_sources,6
SRP182120,human,sra,data_sources/sra,data_sources,5
SRP108720,human,sra,data_sources/sra,data_sources,18
SRP184220,human,sra,data_sources/sra,data_sources,12
DRP001220,human,sra,data_sources/sra,data_sources,1
SRP108320,human,sra,data_sources/sra,data_sources,80
SRP127320,human,sra,data_sources/sra,data_sources,323
SRP022920,human,sra,data_sources/sra,data_sources,6
SRP124220,human,sra,data_sources/sra,data_sources,20
SRP108920,human,sra,data_sources/sra,data_sources,1
SRP161520,human,sra,data_sources/sra,data_sources,6
SRP131220,human,sra,data_sources/sra,data_sources,4
SRP051320,human,sra,data_sources/sra,data_sources,28
SRP100620,human,sra,data_sources/sra,data_sources,12
SRP192720,human,sra,data_sources/sra,data_sources,47
SRP117620,human,sra,data_sources/sra,data_sources,4
SRP057020,human,sra,data_sources/sra,data_sources,8
SRP190620,human,sra,data_sources/sra,data_sources,2
SRP028720,human,sra,data_sources/sra,data_sources,2
SRP059720,human,sra,data_sources/sra,data_sources,12
SRP092520,human,sra,data_sources/sra,data_sources,12
SRP151120,human,sra,data_sources/sra,data_sources,29
SRP154920,human,sra,data_sources/sra,data_sources,6
SRP063620,human,sra,data_sources/sra,data_sources,9
SRP043320,human,sra,data_sources/sra,data_sources,12
SRP101420,human,sra,data_sources/sra,data_sources,6
SRP056220,human,sra,data_sources/sra,data_sources,43
SRP074420,human,sra,data_sources/sra,data_sources,12
SRP108020,human,sra,data_sources/sra,data_sources,3
SRP059520,human,sra,data_sources/sra,data_sources,1
SRP090620,human,sra,data_sources/sra,data_sources,32
SRP115520,human,sra,data_sources/sra,data_sources,4
SRP041820,human,sra,data_sources/sra,data_sources,2
SRP174620,human,sra,data_sources/sra,data_sources,24
SRP095420,human,sra,data_sources/sra,data_sources,93
SRP150320,human,sra,data_sources/sra,data_sources,24
ERP021420,human,sra,data_sources/sra,data_sources,44
ERP015820,human,sra,data_sources/sra,data_sources,10
SRP113720,human,sra,data_sources/sra,data_sources,4
SRP131120,human,sra,data_sources/sra,data_sources,47
SRP201220,human,sra,data_sources/sra,data_sources,8
SRP185420,human,sra,data_sources/sra,data_sources,15
SRP133020,human,sra,data_sources/sra,data_sources,9
SRP014620,human,sra,data_sources/sra,data_sources,17
SRP104720,human,sra,data_sources/sra,data_sources,12
SRP108120,human,sra,data_sources/sra,data_sources,36
SRP018020,human,sra,data_sources/sra,data_sources,16
